Zone Timestep,THERMAL ZONE 1:Zone Mean Air Temperature[C],THERMAL ZONE 2:Zone Mean Air Temperature[C],THERMAL ZONE 3:Zone Mean Air Temperature[C]
2006-Jan-02 12:30:00,21.3494441505803,20.963492333619932,21.578113838694836
2006-Jan-02 12:40:00,21.422535261845518,21.056254190671925,21.643776909015592
2006-Jan-02 12:50:00,21.499400212326492,21.152523382027752,21.711415139396593
2006-Jan-02 13:00:00,21.579841847454663,21.251878766439887,21.780436765551173
2006-Jan-02 13:10:00,21.663727942357852,21.353628291777046,21.85153713338073
2006-Jan-02 13:20:00,21.750988646340375,21.45565317050954,21.923572260602995
2006-Jan-02 13:30:00,21.841643069667864,21.558709877775247,21.997442473292395
2006-Jan-02 13:40:00,21.93599300436055,21.665764820141533,22.078378552822173
2006-Jan-02 13:50:00,22.035908501463595,21.77751195462992,22.167496167901326
2006-Jan-02 14:00:00,22.135382397510377,21.893494974872866,22.262446376136353
2006-Jan-02 14:10:00,22.22998085339365,22.014815075860223,22.35860198863399
2006-Jan-02 14:20:00,22.32027386063363,22.136040658087662,22.45535831449586
2006-Jan-02 14:30:00,22.408345420887837,22.25439526027745,22.55472279466596
2006-Jan-02 14:40:00,22.49533137991165,22.370407414375936,22.655410942785064
2006-Jan-02 14:50:00,22.581453852844405,22.48540743571043,22.752861109041085
2006-Jan-02 15:00:00,22.666869209816173,22.600195297261866,22.84595966412306
2006-Jan-02 15:10:00,22.75194322220563,22.71506717421567,22.93724161355622
2006-Jan-02 15:20:00,22.837072764274563,22.8301863958001,23.030226300544047
2006-Jan-02 15:30:00,22.92244454203398,22.945624864265458,23.123209262963694
2006-Jan-02 15:40:00,23.008090878921116,23.061406497017295,23.214220961792993
2006-Jan-02 15:50:00,23.093911665232035,23.177405607378674,23.3028552688706
2006-Jan-02 16:00:00,23.179667930584355,23.293287240536245,23.3893629429667
2006-Jan-02 16:10:00,23.264990080600022,23.408531169707835,23.47339560014346
2006-Jan-02 16:20:00,23.349411020452603,23.52249331441464,23.5545469173207
2006-Jan-02 16:30:00,23.432393599624177,23.634442681215205,23.63252222371421
2006-Jan-02 16:40:00,23.51336245245403,23.74359807075474,23.708611399147607
2006-Jan-02 16:50:00,23.591738147982053,23.849172470482518,23.783314544234727
2006-Jan-02 17:00:00,23.666968479802247,23.950417822129538,23.853777746936903
2006-Jan-02 17:10:00,23.738553991648,24.046661952056343,23.91773509986655
2006-Jan-02 17:20:00,23.806062579733705,24.137329935543356,23.97288490193101
2006-Jan-02 17:30:00,23.869133906907283,24.22195118996381,24.02231771441588
2006-Jan-02 17:40:00,23.927481929800557,24.300162794080308,24.071008210846433
2006-Jan-02 17:50:00,23.980899699898558,24.3717145067065,24.11908985327694
2006-Jan-02 18:00:00,24.029267218093487,24.436477248373716,24.163088645600894
2006-Jan-02 18:10:00,24.0725565174036,24.494451361526018,24.180391318911457
2006-Jan-02 18:20:00,24.11081871726673,24.545762872078907,24.18446856061925
2006-Jan-02 18:30:00,24.14413273644001,24.59064448428332,24.190627123162514
2006-Jan-02 18:40:00,24.17253433590707,24.629277686412106,24.20122964248735
2006-Jan-02 18:50:00,24.195976109838817,24.660893919567403,24.211709926662877
2006-Jan-02 19:00:00,24.214269253903304,24.68529250092909,24.218205637695696
2006-Jan-02 19:10:00,24.2277681793933,24.70271971614999,24.220436418765885
